iso_time,rx_ms,station_id,src_mac,type,fields
2026-02-24T11:40:55.605+01:00,1771929655605,0,28:56:2F:63:C5:48,R,"90,98,614.6,-80.2,5637555"
2026-02-24T11:40:55.874+01:00,1771929655874,0,28:56:2F:63:C5:48,H,"90,9787,6,5637824"
2026-02-24T11:40:55.975+01:00,1771929655975,0,28:56:2F:63:C5:18,C,"98,3,3,0.62,-0.86,-9.74,2.4,3.1,-0.8,5809741,6884,6,73"
2026-02-24T11:40:56.165+01:00,1771929656165,0,28:56:2F:63:C5:48,R,"90,94,472.0,-83.5,5638116"
2026-02-24T11:40:56.445+01:00,1771929656445,0,28:56:2F:63:C7:40,C,"10,3,3,0.63,1.91,-9.47,-6.2,-3.5,-13.9,6065268,1941,7,70"
2026-02-24T11:40:57.268+01:00,1771929657268,0,28:56:2F:63:C5:48,R,"90,10,537.7,-85.4,5638685"
2026-02-24T11:40:57.640+01:00,1771929657640,0,28:56:2F:63:C7:40,H,"10,10301,7,6066422"
2026-02-24T11:40:58.734+01:00,1771929658734,0,28:56:2F:63:C6:A8,R,"245,98,565.8,-81.9,6114487"
2026-02-24T11:40:58.801+01:00,1771929658801,0,28:56:2F:63:C5:18,R,"98,90,645.1,-85.4,5812286"
2026-02-24T11:40:58.808+01:00,1771929658808,0,28:56:2F:63:C5:18,C,"98,3,3,0.91,-1.38,-9.53,4.6,7.7,-2.2,5812593,307,6,73"
2026-02-24T11:40:59.963+01:00,1771929659963,0,28:56:2F:63:C5:18,R,"98,94,226.6,-76.0,5813403"
2026-02-24T11:41:01.031+01:00,1771929661031,0,28:56:2F:63:C7:40,R,"10,94,223.3,-80.3,6069637"
2026-02-24T11:41:01.411+01:00,1771929661411,0,28:56:2F:63:C5:48,H,"90,9796,6,5642856"
2026-02-24T11:41:01.414+01:00,1771929661414,0,28:56:2F:63:C5:48,C,"90,0,1,-2.10,4.49,-7.41,37.5,-12.6,35.2,5643108,408,6,71"
2026-02-24T11:41:02.664+01:00,1771929662664,0,28:56:2F:63:C5:18,R,"98,96,297.9,-83.5,5816679"
2026-02-24T11:41:03.035+01:00,1771929663035,0,28:56:2F:63:C5:18,H,"98,10094,5,5817050"
2026-02-24T11:41:03.903+01:00,1771929663903,0,28:56:2F:63:C5:18,R,"98,245,255.2,-85.9,5817917"
2026-02-24T11:41:03.907+01:00,1771929663907,0,28:56:2F:63:C7:40,R,"10,98,450.4,-87.6,6072613"
2026-02-24T11:41:04.105+01:00,1771929664105,0,28:56:2F:63:C5:48,C,"90,0,2,-3.69,-0.63,-8.83,24.8,-15.7,1.0,5645983,3283,5,71"
2026-02-24T11:41:04.663+01:00,1771929664663,0,28:56:2F:63:C5:18,C,"98,3,3,0.08,-1.02,-9.63,0.2,6.3,-2.5,5818677,307,5,73"
2026-02-24T11:41:04.976+01:00,1771929664976,0,28:56:2F:63:C5:18,R,"98,10,454.2,-88.5,5818990"
2026-02-24T11:41:06.116+01:00,1771929666116,0,28:56:2F:63:C5:18,R,"98,245,255.2,-85.1,5820128"
2026-02-24T11:41:06.780+01:00,1771929666780,0,28:56:2F:63:C7:40,R,"10,94,223.3,-81.7,6075372"
2026-02-24T11:41:08.421+01:00,1771929668420,0,28:56:2F:63:C5:48,R,"90,54,968.8,-85.9,5650365"
2026-02-24T11:41:08.670+01:00,1771929668670,0,28:56:2F:63:C7:40,R,"10,151,493.6,-86.8,6077808"
2026-02-24T11:41:09.128+01:00,1771929669128,0,28:56:2F:63:C6:A8,R,"245,98,565.8,-80.3,6124345"
2026-02-24T11:41:09.244+01:00,1771929669244,0,28:56:2F:63:C7:40,R,"10,96,205.5,-72.8,6078383"
2026-02-24T11:41:10.172+01:00,1771929670172,0,28:56:2F:63:C5:20,R,"94,98,225.7,-76.7,5546775"
2026-02-24T11:41:10.316+01:00,1771929670316,0,28:56:2F:63:C7:30,R,"96,10,206.4,-72.4,6297346"
2026-02-24T11:41:10.893+01:00,1771929670893,0,28:56:2F:63:C7:40,R,"10,94,223.3,-76.9,6080031"
2026-02-24T11:41:11.202+01:00,1771929671202,0,28:56:2F:63:C7:40,C,"10,3,3,0.27,1.89,-9.40,-5.7,2.3,2.4,6080338,307,6,70"
2026-02-24T11:41:11.543+01:00,1771929671543,0,28:56:2F:63:C6:A8,R,"245,151,703.8,-87.5,6127289"
2026-02-24T11:41:12.333+01:00,1771929672333,0,28:56:2F:63:C7:30,R,"96,43,526.9,-85.6,6299362"
2026-02-24T11:41:12.777+01:00,1771929672777,0,28:56:2F:63:C5:18,R,"98,96,297.9,-81.8,5826786"
2026-02-24T11:41:13.237+01:00,1771929673237,0,28:56:2F:63:C7:40,H,"10,10328,6,6081523"
2026-02-24T11:41:13.441+01:00,1771929673441,0,28:56:2F:63:C5:48,R,"90,245,886.3,-85.9,5654846"
2026-02-24T11:41:13.444+01:00,1771929673444,0,28:56:2F:63:C5:48,C,"90,0,1,-2.30,-2.78,-8.85,14.8,-1.8,19.3,5655354,508,6,70"
2026-02-24T11:41:14.166+01:00,1771929674166,0,28:56:2F:63:C5:48,R,"90,98,614.6,-81.3,5656108"
2026-02-24T11:41:14.610+01:00,1771929674610,0,28:56:2F:63:C7:30,H,"96,11002,8,6300983"
2026-02-24T11:41:14.619+01:00,1771929674619,0,28:56:2F:63:C6:A8,C,"245,2,2,-7.00,2.58,-7.00,7.7,3.3,4.8,6130365,839,5,72"
2026-02-24T11:41:14.738+01:00,1771929674738,0,28:56:2F:63:C5:48,R,"90,94,463.1,-84.6,5656680"
2026-02-24T11:41:14.814+01:00,1771929674814,0,28:56:2F:63:C6:A8,H,"245,10698,5,6130536"
2026-02-24T11:41:14.990+01:00,1771929674990,0,28:56:2F:63:C7:40,C,"10,3,3,0.68,0.82,-9.58,5.5,-1.0,1.2,6083580,3000,6,70"
2026-02-24T11:41:15.321+01:00,1771929675321,0,28:56:2F:63:C5:48,R,"90,10,522.7,-81.9,5657262"
2026-02-24T11:41:15.394+01:00,1771929675393,0,28:56:2F:63:C6:A8,R,"245,151,709.4,-85.4,6131139"
2026-02-24T11:41:16.487+01:00,1771929676487,0,28:56:2F:63:C5:48,H,"90,9822,5,5657947"
2026-02-24T11:41:16.490+01:00,1771929676490,0,28:56:2F:63:C5:48,C,"90,0,1,-6.57,-1.89,-5.96,-19.5,84.9,30.2,5658125,863,5,70"
2026-02-24T11:41:16.492+01:00,1771929676492,0,28:56:2F:63:C5:48,R,"90,96,616.5,-88.7,5658428"
2026-02-24T11:41:16.682+01:00,1771929676682,0,28:56:2F:63:C5:18,R,"98,245,255.2,-82.5,5830689"
2026-02-24T11:41:16.890+01:00,1771929676890,0,28:56:2F:63:C5:18,C,"98,3,3,0.21,-0.34,-9.78,-9.4,-6.0,1.3,5830897,208,6,73"
2026-02-24T11:41:16.893+01:00,1771929676893,0,28:56:2F:63:C7:30,R,"96,90,617.9,-87.1,6303387"
2026-02-24T11:41:17.257+01:00,1771929677257,0,28:56:2F:63:C7:40,R,"10,90,530.2,-83.6,6086393"
2026-02-24T11:41:17.564+01:00,1771929677564,0,28:56:2F:63:C7:40,C,"10,3,3,0.62,1.82,-9.60,1.9,0.1,0.1,6086700,307,5,70"
2026-02-24T11:41:18.979+01:00,1771929678979,0,28:56:2F:63:C7:30,R,"96,10,208.8,-71.2,6306005"
2026-02-24T11:41:19.426+01:00,1771929679426,0,28:56:2F:63:C5:20,H,"94,9802,5,5556567"
2026-02-24T11:41:19.484+01:00,1771929679484,0,28:56:2F:63:C5:18,R,"98,90,624.5,-81.5,5832993"
2026-02-24T11:41:20.086+01:00,1771929680086,0,28:56:2F:63:C5:18,C,"98,3,3,0.80,-0.90,-9.82,2.0,0.5,-2.7,5833909,916,5,73"
2026-02-24T11:41:20.095+01:00,1771929680095,0,28:56:2F:63:C7:30,R,"96,54,391.3,-76.0,6307121"
2026-02-24T11:41:20.527+01:00,1771929680527,0,28:56:2F:63:C5:48,R,"90,54,959.5,-92.2,5661962"
2026-02-24T11:41:21.176+01:00,1771929681176,0,28:56:2F:63:C7:40,R,"10,96,223.8,-73.7,6089775"
2026-02-24T11:41:21.395+01:00,1771929681395,0,28:56:2F:63:C7:30,R,"96,10,209.7,-83.2,6308420"
2026-02-24T11:41:21.623+01:00,1771929681623,0,28:56:2F:63:C5:48,H,"90,9830,5,5663011"
2026-02-24T11:41:21.896+01:00,1771929681896,0,28:56:2F:63:C7:40,R,"10,98,457.4,-87.3,6091027"
2026-02-24T11:41:22.083+01:00,1771929682083,0,28:56:2F:63:C5:48,C,"90,0,1,-11.11,1.12,-5.83,-19.2,-121.0,16.5,5664018,409,5,70"
2026-02-24T11:41:22.349+01:00,1771929682349,0,28:56:2F:63:C7:30,R,"96,3,503.0,-91.7,6308802"
2026-02-24T11:41:22.695+01:00,1771929682695,0,28:56:2F:63:C5:20,C,"94,3,2,0.19,3.81,-8.98,-0.2,0.4,-0.1,5559115,410,5,73"
2026-02-24T11:41:22.700+01:00,1771929682700,0,28:56:2F:63:C5:20,R,"94,96,253.4,-82.6,5559271"
2026-02-24T11:41:22.705+01:00,1771929682705,0,28:56:2F:63:C5:20,R,"94,98,225.2,-76.0,5559831"
2026-02-24T11:41:22.734+01:00,1771929682734,0,28:56:2F:63:C5:48,R,"90,10,522.7,-85.9,5664145"
2026-02-24T11:41:22.886+01:00,1771929682886,0,28:56:2F:63:C7:30,C,"96,3,2,5.40,-3.85,-7.02,0.7,-0.7,-2.3,6309860,1058,9,73"
2026-02-24T11:41:22.940+01:00,1771929682940,0,28:56:2F:63:C5:18,R,"98,10,454.2,-91.0,5836640"
2026-02-24T11:41:23.260+01:00,1771929683260,0,28:56:2F:63:C5:18,C,"98,3,3,0.37,-1.87,-9.23,4.9,-5.4,3.2,5837262,208,5,73"
2026-02-24T11:41:23.473+01:00,1771929683473,0,28:56:2F:63:C7:40,R,"10,96,223.8,-75.5,6092243"
2026-02-24T11:41:23.943+01:00,1771929683943,0,28:56:2F:63:C5:20,R,"94,10,227.6,-75.9,5560398"
2026-02-24T11:41:24.183+01:00,1771929684183,0,28:56:2F:63:C7:30,R,"96,90,617.9,-90.0,6310769"
2026-02-24T11:41:24.186+01:00,1771929684186,0,28:56:2F:63:C7:30,H,"96,11018,9,6311069"
2026-02-24T11:41:24.253+01:00,1771929684253,0,28:56:2F:63:C7:40,R,"10,98,457.0,-87.1,6093385"
2026-02-24T11:41:24.406+01:00,1771929684406,0,28:56:2F:63:C5:20,R,"94,90,464.0,-83.9,5561545"
2026-02-24T11:41:24.693+01:00,1771929684693,0,28:56:2F:63:C5:18,R,"98,90,626.4,-86.1,5838163"
2026-02-24T11:41:24.814+01:00,1771929684814,0,28:56:2F:63:C5:20,C,"94,3,3,0.19,3.76,-9.06,-0.5,-0.1,-0.2,5561952,407,5,73"
2026-02-24T11:41:24.952+01:00,1771929684952,0,28:56:2F:63:C5:48,C,"90,0,2,-6.95,1.77,-6.11,-12.3,-43.4,22.3,5666888,307,5,70"
2026-02-24T11:41:25.192+01:00,1771929685192,0,28:56:2F:63:C7:40,R,"10,151,498.7,-87.9,6093787"
2026-02-24T11:41:25.320+01:00,1771929685320,0,28:56:2F:63:C5:18,R,"98,94,215.8,-80.9,5839323"
2026-02-24T11:41:25.379+01:00,1771929685379,0,28:56:2F:63:C7:30,R,"96,98,273.5,-84.2,6312403"
2026-02-24T11:41:25.687+01:00,1771929685687,0,28:56:2F:63:C7:30,C,"96,3,3,5.09,-4.26,-7.54,-6.4,-2.6,-3.8,6312710,307,9,73"
2026-02-24T11:41:25.790+01:00,1771929685790,0,28:56:2F:63:C7:40,R,"10,94,227.6,-76.0,6094921"
2026-02-24T11:41:26.372+01:00,1771929686372,0,28:56:2F:63:C7:40,R,"10,98,457.0,-86.3,6095503"
2026-02-24T11:41:26.549+01:00,1771929686549,0,28:56:2F:63:C7:30,R,"96,43,526.9,-86.4,6313572"
2026-02-24T11:41:26.680+01:00,1771929686680,0,28:56:2F:63:C7:40,C,"10,3,3,-0.40,2.30,-9.33,1.0,0.5,4.8,6095810,307,6,70"
2026-02-24T11:41:26.945+01:00,1771929686945,0,28:56:2F:63:C5:48,R,"90,98,625.9,-82.8,5668880"
2026-02-24T11:41:27.112+01:00,1771929687112,0,28:56:2F:63:C7:30,R,"96,90,614.2,-92.6,6314136"
