iso_time,rx_ms,station_id,src_mac,type,node,nbr,hellos,range_pct,dist_cm,rssi_dbm,is_stale,stale_ms,extra...
2026-02-24T12:57:11.674+01:00,1771934231674,0,28:56:2F:63:C7:30,N,96,43,26,76,321.4,-86.2,0,1255
2026-02-24T12:58:32.281+01:00,1771934312281,0,28:56:2F:63:C7:30,N,96,94,51,83,620.3,-83.0,0,1855
2026-02-24T12:58:37.627+01:00,1771934317627,0,28:56:2F:63:C7:30,N,96,3,36,50,693.9,-85.8,0,756
2026-02-24T13:06:55.813+01:00,1771934815813,0,28:56:2F:63:C7:30,N,96,3,13,54,785.9,-87.6,0,5074
2026-02-24T13:09:01.133+01:00,1771934941133,0,28:56:2F:63:C7:30,N,96,151,8,80,930.4,-51.1,0,670
2026-02-24T13:09:32.359+01:00,1771934972359,0,28:56:2F:63:C7:30,N,96,98,2,100,760.5,-88.7,0,4541
2026-02-24T13:11:22.397+01:00,1771935082397,0,28:56:2F:63:C7:30,N,96,43,47,80,790.3,-58.6,0,4616
2026-02-24T13:12:17.869+01:00,1771935137869,0,28:56:2F:63:C7:30,N,96,43,57,81,790.3,-59.6,0,679
2026-02-24T13:13:08.325+01:00,1771935188325,0,28:56:2F:63:C7:30,N,96,10,24,80,666.2,-85.5,0,4096
2026-02-24T13:16:50.628+01:00,1771935410628,0,28:56:2F:63:C7:30,N,96,3,21,81,455.6,-67.6,0,1232
2026-02-24T13:18:31.644+01:00,1771935511644,0,28:56:2F:63:C7:30,N,96,90,63,70,782.4,-53.4,0,9092
2026-02-24T13:20:27.805+01:00,1771935627805,0,28:56:2F:63:C7:30,N,96,10,30,72,14.1,-64.7,0,2770
2026-02-24T13:21:13.520+01:00,1771935673520,0,28:56:2F:63:C7:30,N,96,43,172,79,790.3,-57.4,0,1195
2026-02-24T13:21:23.325+01:00,1771935683325,0,28:56:2F:63:C7:30,N,96,54,21,76,841.5,-47.6,0,2632
